,index,Player,Team,League,Version,OVR,POS,PAC,SHO,PAS,DRI,DEF,PHY,S/M,W/F,W/Rs,Foot,Stats,tots,special cards,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,npg,npxG,xGChain,xGBuildup
0,206,Lionel Messi,FC Barcelona,ESP 1,gold,93,RW,85,92,91,95,38,65,4,4,M/L,Left,"2,177",1,8,35,3017,30,26.676843278110027,9,11.422847747802734,195,77,4,0,27,22.96045546978712,37.90686317533255,20.33736250922084
1,327,Jan Oblak,Atlético de Madrid,ESP 1,gold,91,GK,87,92,78,90,50,90,1,3,M/M,Right,976,1,5,38,3420,0,0.0,0,0.0,0,0,0,0,0,0.0,3.903582900762558,3.903582900762558
2,328,Kevin De Bruyne,Manchester City,ENG 1,gold,91,CAM,76,86,93,88,64,78,4,5,H/H,Right,"2,246",1,6,25,2008,6,9.98343913257122,12,10.9582067001611,81,79,1,0,4,7.699932523071766,22.51689299941063,11.297133274376392
3,329,Neymar Jr,Paris Saint-Germain,FRA 1,gold,91,LW,91,85,86,94,36,59,5,5,H/M,Right,"2,116",1,4,18,1413,9,13.246887736022472,5,7.517837218940258,70,58,5,2,4,8.68631674349308,21.53813226521015,9.8472842220217
4,330,Robert Lewandowski,Bayern München,GER 1,gold,91,ST,78,91,78,86,43,82,4,4,H/M,Right,"2,144",1,7,29,2467,41,32.07735199481249,7,4.815550103783608,135,32,4,0,33,25.25736198574305,31.74017623066902,5.689343474805355
5,413,Alisson,Liverpool,ENG 1,gold,90,GK,86,88,85,89,52,91,1,3,M/M,Right,950,0,2,33,2970,1,0.1076817587018013,0,0.0,1,0,1,0,1,0.1076817587018013,3.5593252051621675,3.5593252051621675
6,414,Kylian Mbappe,Paris Saint-Germain,FRA 1,gold,90,ST,96,86,78,91,39,76,5,4,H/L,Right,"2,105",1,7,31,2392,27,22.854565370827917,7,5.384128553792834,103,33,5,0,21,18.29412578418851,32.02804045379162,10.398178676143289
7,415,Marc-Andre ter Stegen,FC Barcelona,ESP 1,gold,90,GK,88,85,88,90,43,88,1,4,M/M,Right,"1,003",0,1,31,2790,0,0.0562769509851932,0,0.0473353192210197,1,1,1,0,0,0.0562769509851932,7.561901956796646,7.561901956796646
8,416,Virgil van Dijk,Liverpool,ENG 1,gold,90,CB,76,60,71,72,91,86,2,3,M/M,Right,"2,054",0,3,5,370,1,0.5533826053142548,0,0.0,4,0,1,0,1,0.5533826053142548,1.409594252705574,1.2884346395730972
9,417,Sadio Mane,Liverpool,ENG 1,gold,90,LW,94,85,80,90,44,76,4,4,H/M,Right,"2,147",0,6,35,2805,11,14.828547755256295,7,7.787754854187369,94,61,3,0,11,14.828547755256295,24.99892319738865,6.057656282559037
