Player,Team,League,Version,OVR,POS,BIN,PAC,SHO,PAS,DRI,DEF,PHY,S/M,W/F,W/Rs,Foot,Stats

Pele,Icons,ICO,icon,98,CAM,4.9M,95,96,93,96,60,76,5,4,H/M,Right,"2,415"

Diego Maradona,Icons,ICO,icon,97,CAM,3.4M,92,93,92,97,40,76,5,3,H/M,Left,"2,297"

Zinedine Zidane,Icons,ICO,icon,96,CAM,3.1M,85,92,96,95,75,86,5,5,M/M,Right,"2,451"

Ronaldo Nazario,Icons,ICO,icon,96,ST,9M,97,95,81,95,45,76,5,5,M/M,Right,"2,252"

Pele,Icons,ICO,icon,95,CF,3.6M,96,93,90,95,56,75,5,4,H/M,Right,"2,357"

Diego Maradona,Icons,ICO,icon,95,CAM,1.7M,88,91,90,95,42,75,5,3,H/M,Left,"2,262"

Lionel Messi,Paris Saint-Germain,FRA 1,otw,95,RW,1.9M,88,94,93,97,36,70,4,4,M/L,Left,"2,234"

Ronaldinho,Icons,ICO,icon,94,LW,5.3M,92,90,91,95,37,81,5,4,H/L,Right,"2,234"

Johan Cruyff,Icons,ICO,icon,94,CF,4.8M,91,92,91,94,42,73,5,5,H/L,Right,"2,245"

Lev Yashin,Icons,ICO,icon,94,GK,998K,95,89,75,96,60,95,1,3,M/M,Right,"1,245"

Ferenc Puskas,Icons,ICO,icon,94,CF,2.5M,91,96,91,92,46,76,4,3,H/M,Left,"2,300"

Paolo Maldini,Icons,ICO,icon,94,CB,2.5M,86,56,75,69,96,83,2,4,M/H,Right,"2,045"

Garrincha,Icons,ICO,icon,94,RW,1.7M,90,87,94,96,41,68,5,4,M/L,Right,"2,210"

Lionel Messi,Paris Saint-Germain,FRA 1,goldif,94,RW,725K,86,93,92,96,35,68,4,4,M/L,Left,"2,201"

Ronaldo Nazario,Icons,ICO,icon,94,ST,5.7M,93,93,80,93,46,80,5,5,M/L,Right,"2,230"

Zinedine Zidane,Icons,ICO,icon,94,CAM,1.9M,82,90,93,92,72,83,5,5,M/M,Right,"2,383"

Mohamed Salah,Liverpool,ENG 1,headliner,93,RW,1.2M,94,92,88,94,50,82,4,3,H/M,Left,"2,302"

