,id,Player,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,Team,npg,npxG,xGChain,xGBuildup,League
0,2370,Karim Benzema,19,1570,15,10.197450213134289,7,3.6347861662507057,67,36,0,0,F,Real Madrid,14,9.454300574958324,14.805143926292658,4.196054772939533,ESP 1
1,897,Juanmi,17,1089,12,6.281522419303656,1,0.7811247147619724,29,12,3,0,F M S,Real Betis,12,6.281522419303656,6.673967003822327,1.1502854619175196,ESP 1
2,866,Joselu,19,1581,10,7.2980050118640065,2,1.480941329151392,45,17,0,0,F S,Alaves,5,3.581616853363812,4.329954373650253,1.1694372529163957,ESP 1
3,2290,Iago Aspas,18,1422,10,8.080903310328722,2,3.149817306548357,42,33,6,0,F S,Celta Vigo,8,5.107920795679092,9.264730454422534,2.5946912728250027,ESP 1
4,7008,Vinicius Junior,19,1526,10,7.7670926712453365,4,2.9857082460075617,47,31,4,0,F M S,Real Madrid,10,7.7670926712453365,14.193252220749855,5.35345971211791,ESP 1
5,4229,Raul de Tomas,18,1598,9,8.909248553216457,2,0.8743183594197035,63,13,2,1,F,Espanyol,6,6.679415591061115,7.724697113037109,2.654840536415577,ESP 1
6,555,Memphis Depay,15,1350,8,9.03060613758862,2,3.852882083505392,43,35,1,0,F,Barcelona,5,6.057495651766658,11.199097573757172,3.835233338177204,ESP 1
7,2120,Gerard Moreno,10,772,8,6.451797515153885,1,2.932073835283518,29,19,2,0,F S,Villarreal,7,5.708647802472115,8.178034447133541,2.221310567110777,ESP 1
8,2098,Luis Suarez,19,1140,7,6.860145410522819,1,1.127608004026115,30,9,5,0,F S,Atletico Madrid,6,6.116867741569877,7.865501240827143,1.84108891710639,ESP 1
9,2155,Jorge Molina,17,915,7,4.258568394929171,2,0.5037572453729808,23,10,1,0,F S,Granada,7,4.258568394929171,4.855200447142124,0.5197528451681137,ESP 1
10,2478,Carlos Soler,15,1166,7,6.165536290034652,2,1.887211225926876,20,28,3,0,M S,Valencia,2,2.4491481240838766,4.995776070281863,2.837239248678088,ESP 1
11,2234,Mikel Oyarzabal,13,1005,6,6.169513493776321,1,1.5709614045917988,28,20,0,1,F M S,Real Sociedad,4,3.9396806359291077,5.664488740265369,1.1308880522847176,ESP 1
12,2275,Angel Correa,19,1095,6,3.477313259616494,4,3.076522031798959,29,20,2,0,F M S,Atletico Madrid,6,3.477313259616494,7.613821463659406,2.0399279724806547,ESP 1
13,2361,Willian Jose,16,1049,6,4.36193174123764,4,1.8504508472979069,23,15,2,0,F S,Real Betis,4,2.875376507639885,5.577968075871468,1.855998259037733,ESP 1
14,2384,Santi Mina,18,1379,6,5.419447027146816,3,1.9816785845905542,37,17,3,0,F,Celta Vigo,6,5.419447027146816,7.957533106207848,1.919321171939373,ESP 1
15,5682,Goncalo Guedes,19,1497,6,3.8460510969161987,4,3.9939204333350062,42,26,2,0,F M S,Valencia,6,3.8460510969161987,10.048554185777903,4.471877742558718,ESP 1
16,6219,Enes Unal,19,1291,6,4.669901322573423,0,0.3956536762416363,42,12,4,0,F S,Getafe,6,3.926623698323965,3.8590222969651222,1.2080449871718884,ESP 1
17,696,Falcao,11,358,5,2.7508270889520645,0,0.013266279362142086,16,1,1,0,F S,Rayo Vallecano,5,2.7508270889520645,2.1112316166982055,0.1207641065120697,ESP 1
18,1109,Lucas Ocampos,15,1064,5,4.1105417143553495,1,0.5531127732247114,26,10,3,0,F M S,Sevilla,5,4.1105417143553495,5.976191142573953,2.473186133429408,ESP 1
19,1189,Lucas Boye,15,1167,5,3.237153073772788,1,1.7598643247038126,33,15,2,0,F S,Elche,5,3.237153073772788,4.552438395097852,1.3677011169493198,ESP 1
20,2117,Marco Asensio,16,818,5,3.2719435561448336,0,1.4591678846627474,26,13,0,0,F M S,Real Madrid,5,3.2719435561448336,5.997767843306065,2.6886692494153976,ESP 1
21,2186,Morales,18,1439,5,4.414407936856151,1,1.3481060359627008,31,12,4,0,F M S,Levante,5,3.6711303275078535,6.2911237850785255,1.573527374304831,ESP 1
22,2399,Inaki Williams,20,1597,5,6.2187901847064495,2,5.180496364831924,47,19,1,0,F S,Athletic Club,5,6.2187901847064495,13.708070445805788,3.1818098621442914,ESP 1
23,2589,Rafa Mir,17,1089,5,4.698070898652077,0,0.1653708191588521,37,4,3,0,F S,Sevilla,5,4.698070898652077,5.6175682339817286,1.2944839280098677,ESP 1
24,6637,Hugo Duro,17,1096,5,3.004527300596237,1,0.47618697956204414,22,10,0,1,F M S,Getafe,5,3.004527300596237,4.290993981063366,1.7952633742243052,ESP 1
25,7071,Alvaro Garcia,18,1479,5,3.8841670732945204,2,2.941023025661707,38,17,3,0,M S,Rayo Vallecano,5,3.8841670732945204,8.857063107192516,2.3168092146515846,ESP 1
26,8066,Arnaut Danjuma Groeneveld,12,800,5,5.610459968447685,2,0.6181427836418152,36,5,1,0,F M S,Villarreal,5,5.610459968447685,8.073356047272682,2.4712539203464985,ESP 1
27,644,Erik Lamela,12,588,4,1.85529775172472,1,1.559736905619502,14,14,4,0,F S,Sevilla,4,1.85529775172472,6.085573274642229,3.6786063127219677,ESP 1
28,2301,Manu Trigueros,18,1157,4,3.649342268705368,2,2.077588055282831,25,16,2,0,F M S,Villarreal,4,3.649342268705368,7.812203451991081,4.57683951407671,ESP 1
